"LicenceDetails","TradingName","Address","PremisesUse","ApplicationType","ApplicationTypeCode","Status","Ward","URL","lat","long","RepresentationResponseDate"
"Premises Licence - New","B-Soho","Basement And Ground Floor 21-22 Poland Street London W1F 8QQ","Type - Restaurant","Premises Licence - New","LIPN","Checks Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MX8VMQRP17S00","51.51508468","-.13715027","2013-12-30 00:00:00"
"Not Recorded","Globe Public House","The Globe 43-47 Marylebone Road London NW1 5JY","Type - Public house or pub restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0KXGLRP0R000","51.52192738","-.15703730","2014-02-18 00:00:00"
"Premises Licence - New","Morrisons","43 Strutton Ground London SW1P 2HY","Type - Shop (large)","Premises Licence - New","LIPN","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZCIAURP1GC00","51.49683708","-.13364429","2014-02-19 00:00:00"
"Premises Licence - New","Chucs Bar & Grill","30B Dover Street London W1S 4NB","Revised Type - Restaurant","Premises Licence - New","LIPN","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N09L1NRP0R000","51.50919226","-.14324138","2014-02-27 00:00:00"
"Premises Licence - New","Maddox","3-5 Mill Street London W1S 2AU","Type - Night clubs and discos","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0KN37RP1GC00","51.51268431","-.14229234","2014-02-19 00:00:00"
"Premises Licence - New","Paper Club","32-34 Panton Street London SW1Y 4EA","Type - Night clubs and discos","Premises Licence - New","LIPN","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0FC4BRP1FN00","51.50976005","-.13143015","2014-03-03 00:00:00"
"Not Recorded","Christopher's","18 Wellington Street London WC2E 7DD","Type - Restaurant","Premises Licence - Variation","LIPV","Pending Decision","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MONBHWRP17S00","51.51196684","-.11983936","2013-07-17 00:00:00"
"Premises Licence - New","(Restaurant)","Basement And Ground Floor 6 Walker's Court London W1F 0BU","Type - Restaurant","Premises Licence - New","LIPN","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0SBARRP1RW00","51.51267449","-.13430857","2014-03-07 00:00:00"
"Premises Licence - New","Fifty St James","50 St James's Street London SW1A 1JT","Type - Hotel, 4+ star or major chain","Premises Licence - Variation","LIPV","Checks Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MY9JICRP1GC00","51.50739673","-.14059085","2014-01-17 00:00:00"
"Query","Loco Mexicano","Basement And Ground Floor 64-65 Wilton Road London SW1V 1DE","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","Warwick","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XFEHRP1GC00","51.49323647","-.14077813","2014-02-26 00:00:00"
"Not Recorded","The Gaslight Of St James's Ltd","4 Duke Of York Street London SW1Y 6LA","Type - Night clubs and discos","Premises Licence - Variation","LIPV","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N06A7MRP1FN00","51.50813948","-.13639600","2014-02-26 00:00:00"
"Not Recorded","Freedom","Basement And Ground Floor National House 60-66 Wardour Street London W1F 0TA","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0MTNDRP0R000","51.51282089","-.13333699","2014-02-21 00:00:00"
"Premises Licence - New","Art Antiques London - West Lawn","Albert Memorial Kensington Gore London SW7 2AP","Type - Park / Open Space","Premises Licence - New","LIPN","Consultees Outstanding","Knightsbridge and Belgravia","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N021XRRP1GC00","51.50242239","-.17773693","2014-02-21 00:00:00"
"Premises Licence - New","Enoteca Guildhall","Basement And Ground Floor 11-12 Lansdowne Row London W1J 6DY","Type - Wine bar","Premises Licence - New","LIPN","Checks Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MY0IYLRP0R000","51.50835323","-.14477418","2014-02-05 00:00:00"
"Master Licence - Premises Licence","Stephano's Cafe La Chandelle","2-3 Irving Street London WC2H 7AT","Type - Cafe","Premises Licence - Variation","LIPV","Checks Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N028DSRP1GC00","51.51006642","-.12921273","2014-02-24 00:00:00"
"Premises Licence - New","Subway","100 Berwick Street London W1F 0QN","Type - Takeaway food outlet","Premises Licence - New","LIPN","Checks Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZEHMDRP0R000","51.51296687","-.13459927","2014-02-11 00:00:00"
