"EventDate","StreetName","lat","long","X","Y","Vomit","HumanFouling","blood","Urine"
"2012-08-31 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-06-11 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-06-11 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-06-11 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-10-23 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2014-01-02 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-09-12 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","NO","NO","Yes"
"2013-01-07 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","Yes","Yes","NO","NO"
"2012-07-19 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-09-01 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-09-03 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","NO","NO","Yes"
"2012-11-06 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-11-08 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-11-08 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2013-06-01 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2013-08-27 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-05-22 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2013-04-08 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2013-06-12 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","Yes","NO","NO","NO"
"2013-09-30 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2014-02-07 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","Yes","NO","NO","Yes"
"2012-10-02 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-07-25 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2014-01-10 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2012-07-27 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","Yes","NO","NO","NO"
"2012-07-28 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","NO","NO","Yes"
"2012-11-01 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-07-23 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-10-18 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2014-01-24 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2014-01-27 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2014-01-27 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2014-01-28 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","Yes","NO","NO","NO"
"2013-03-01 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","NO","NO","Yes"
"2014-01-22 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2012-11-07 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-09-09 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-09-11 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-01-04 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-02-10 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","Yes"
"2013-02-11 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2012-09-06 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","NO","NO","Yes"
"2012-12-19 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-09-18 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2012-11-23 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-03-07 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-07-01 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","Yes"
"2012-11-18 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-01-24 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","Yes","NO","NO"
"2013-11-19 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","NO","NO","Yes"
"2013-02-09 00:00:00","VICTORIA EMBANKMENT","51.5065595","-0.1224161","530405","180295","NO","NO","NO","Yes"
"2012-10-02 00:00:00","WILTON CRESCENT","51.5000617","-0.1561101","528085","179513","NO","NO","NO","Yes"
"2012-09-20 00:00:00","GILBERT STREET","51.5131531","-0.1497011","528493","180980","NO","NO","NO","Yes"
"2013-07-31 00:00:00","NORTH WHARF ROAD","51.5187647","-0.1757685","526669","181558","NO","Yes","NO","NO"
"2013-09-30 00:00:00","NORTH WHARF ROAD","51.5187647","-0.1757685","526669","181558","NO","NO","NO","Yes"
"2013-10-02 00:00:00","NORTH WHARF ROAD","51.5187647","-0.1757685","526669","181558","NO","Yes","NO","NO"
"2012-04-10 00:00:00","NORTH WHARF ROAD","51.5187647","-0.1757685","526669","181558","NO","NO","NO","Yes"
"2012-07-29 00:00:00","NORTH WHARF ROAD","51.5187647","-0.1757685","526669","181558","NO","NO","NO","Yes"
"2013-09-29 00:00:00","STRATTON STREET","51.5082413","-0.1433289","528949","180445","NO","Yes","NO","NO"
"2013-02-12 00:00:00","STRATTON STREET","51.5082413","-0.1433289","528949","180445","Yes","NO","NO","NO"
"2012-09-07 00:00:00","STRATTON STREET","51.5082413","-0.1433289","528949","180445","NO","Yes","NO","NO"
"2013-02-15 00:00:00","STRATTON STREET","51.5082413","-0.1433289","528949","180445","Yes","NO","NO","NO"
"2012-09-29 00:00:00","STRATTON STREET","51.5082413","-0.1433289","528949","180445","NO","NO","NO","Yes"
"2013-04-20 00:00:00","STRATTON STREET","51.5082413","-0.1433289","528949","180445","Yes","NO","NO","NO"
"2013-05-06 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","Yes","NO","NO"
"2013-09-04 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2013-11-21 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2013-05-21 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","Yes","NO","NO"
"2012-12-19 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","Yes","NO","NO"
